Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50080000	162.8358651	99.7581039	85.6428525	82.1516348	64.3607644	21.5958231	7.1130192	3.2034956	0.0068447	0.0071491	-10.362
50085000	164.4727351	100.8775364	87.3414155	84.7206943	65.9832328	22.3914451	9.4852657	4.4118883	0.0046009	0.0072244	-5.820
50090000	151.1962674	98.9360967	85.4493877	82.7432226	64.5027074	22.1319196	9.0689811	4.4325657	0.0011125	0.0064747	-7.940
50095000	155.6908842	93.8335230	83.1700684	80.6423159	60.0877092	24.7071795	10.6610114	5.4448362	0.0034197	0.0057429	-11.140
50100000	150.7302687	99.0174827	84.5003118	81.9569551	64.1086604	23.2396192	9.9216653	5.2743215	0.0040330	0.0064131	-6.094
50105000	151.6972738	101.4004926	88.7430998	85.5240349	58.6527020	26.5033088	9.9121754	5.2919840	0.0077748	0.0088738	-6.181
50110000	158.7890519	93.3474557	83.6782697	81.1083727	62.6954834	24.0724034	9.8394902	5.4313907	0.0083150	0.0078638	-10.531
50115000	151.5160437	92.9653590	83.1450085	80.9311770	65.7398426	26.7958470	9.7003813	5.3877540	0.0057820	0.0063936	-12.257
50120000	162.9873112	91.6162981	82.1076559	80.2060656	65.2417104	22.6678901	8.8862128	4.4881061	0.0055850	0.0078980	-8.383
50125000	153.7321835	93.4920511	84.2937165	82.3238465	65.5945649	23.8530903	9.4268579	5.3392537	0.0040369	0.0060547	-6.072
50130000	152.7301136	94.4569940	84.7393862	82.5762990	64.6161394	22.8695611	9.8648652	5.2673290	0.0083419	0.0099307	-7.769
50135000	151.0088000	97.3723131	87.3033617	84.3918059	63.9860475	24.3609336	12.1638263	6.9710492	0.0050599	0.0047077	-7.594
50140000	167.1029273	101.0206742	86.9859685	84.3473412	66.0945828	27.8185639	11.7000718	5.7934268	0.0031145	0.0045600	-8.327
50145000	163.5592633	94.9754295	85.2842116	83.6280278	64.5524040	29.3354918	12.9203124	6.4948223	0.0073633	0.0094370	-9.070
50150000	152.7271837	90.9643378	79.2586324	77.6440540	64.5677578	23.6094362	10.1345500	5.1503560	0.0060247	0.0069230	-5.047
50155000	163.5098933	93.2937331	73.8217498	72.1392723	58.4471194	26.7847555	8.7723331	4.4539146	0.0284313	0.0213900	-5.861
50160000	164.4816791	97.4931079	77.3914970	74.7541514	58.9616006	26.7034582	10.0468023	4.6016551	0.0089679	0.0151934	-8.612
50165000	160.2737697	95.5547332	82.2988717	79.8227809	64.8059842	23.2601805	9.8926491	5.7436986	0.0065374	0.0045458	-10.041
50170000	164.7224028	90.9198252	80.9720566	79.2827189	62.1409338	21.2816670	9.2908147	5.4394443	0.0128761	0.0081859	-7.448
50175000	156.2515823	92.7457440	79.3342994	77.0342869	61.9630252	21.7792736	7.8219763	4.2433860	0.0062838	0.0248957	-14.334
50180000	162.4067640	97.3706839	86.3926193	83.8263646	65.3349953	25.0590530	9.0652365	4.6145198	0.0046494	0.0078646	-6.974
50185000	157.1731821	96.4902744	82.7953342	79.8820981	58.5195571	22.1343246	8.8481104	4.5497643	0.0120944	0.0134617	-7.422
50190000	158.8979541	94.5627007	86.2055148	84.0096785	62.4984196	23.6610812	10.7428713	5.4308705	0.0050286	0.0040426	-6.304
50195000	160.2222268	93.6331894	80.3430569	78.2827183	62.2936943	24.1948885	13.4680803	8.4290730	0.0064921	0.0210776	-5.248
50200000	157.2816913	92.7221717	82.9648762	80.5042888	57.5527288	26.8468332	13.6160461	7.7623937	0.0143545	0.0284245	-10.344
50205000	164.5168307	92.9901287	80.5289404	77.4348700	59.8999387	26.5840050	13.1154206	6.5816232	0.0118948	0.0098954	-10.523
50210000	165.6943579	97.0029338	85.4960929	82.8568412	63.4383010	25.5289673	10.8478115	6.0710646	0.0075520	0.0095063	-4.642
50215000	162.0018190	94.8626165	81.9985545	79.3023610	61.0199292	23.7078654	9.3207564	4.9931842	0.0059236	0.0031184	-11.525
50220000	162.7006814	97.5216546	85.8013426	83.7336285	66.0382255	24.9969720	10.8467271	6.0502581	0.0030338	0.0035689	-7.746
